Occupation,Job Zone,Code,Synonyms
printing worker supervisor,,,[]
prints curator,,,[]
prior,,,['prior']
prism measurer,,,[]
prison guard,,,[]
prison guard supervisor,,,[]
prison keeper,,,[]
prison librarian,,,[]
prisoner classification interviewer,,,[]
private,,,"['buck private', 'private', 'common soldier']"
private branch exchange installer,,,[]
private branch exchange operator,,,[]
private branch exchange service adviser,,,[]
private duty nurse practical,,,[]
private duty nurse registered,,,[]
private duty nurse,,,[]
private eye,,,[]
private investigator,,,[]
private practice social worker,,,[]
private secretary,,,[]
private tutor,,,[]
private watchman,,,[]
prize coordinator,,,[]
prize fighter,,,[]
prizer hand,,,[]
probate clerk,,,[]
probate judge,,,[]
probate lawyer,,,[]
probation agent,,,[]
probation worker,,,[]
procedural dermatologist,,,[]
procedure analyst,,,[]
procedure writer,,,[]
procesor,,,[]
process analyst,,,[]
process artist,,,[]
process description writers,,,[]
process machine operator,,,[]
process operator,,,[]
process server,,,[]
process stripper,,,[]
process tank tender,,,[]
process worker,,,[]
processor film,,,[]
processor,,,"['central processor', 'mainframe', 'CPU', 'central processing unit', 'processor', 'C.P.U.']"
proctologist,,,['proctologist']
proctor,,,"['monitor', 'proctor']"
procurement assistant,,,[]
procurement clerk,,,[]
procurement cost coordinator,,,[]
procurement officer,,,[]
produce buyer,,,[]
produce clerk,,,[]
produce runner,,,[]
produce shipper,,,[]
produce sorter,,,[]
produce weigher,,,[]
produce wrapper,,,[]
producer director,,,[]
product developer,,,[]
product implementation specialist,,,[]
product promoter,,,[]
production analyst,,,[]
production checker,,,[]
production clerk,,,[]
production control analyst,,,[]
production control clerk,,,[]
production control expediter,,,[]
production control expert,,,[]
production control planner,,,[]
production control technologist,,,[]
production controller,,,[]
production coordinator,,,[]
production cost estimator,,,[]
production counter,,,[]
production director,,,[]
production expediter,,,[]
production expert,,,[]
production hand,,,[]
production illustrator,,,[]
production leader,,,[]
production line,,,[]
production line worker,,,[]
production machine tender,,,[]
production machinist,,,[]
production man clerical,,,[]
production packager,,,[]
production painter,,,[]
production planner,,,[]
production plater,,,[]
production proofreader,,,[]
production scheduler,,,[]
production superintendent,,,[]
production supply equipment tender,,,[]
production weigher,,,[]
production worker,,,[]
professional bondsman,,,[]
professional caster,,,[]
professional dancer,,,[]
professional entertainer,,,[]
professional golfer,,,[]
professional model,,,[]
professional nurse,,,[]
professional organizer,,,[]
professional poker player,,,[]
professional race car driver,,,[]
professional shopper,,,[]
professional tennis player,,,[]
professional writer,,,[]
profile saw setup operator,,,[]
profile shaper operator,,,[]
profile stitching machine operator,,,[]
profile trimmer,,,[]
profiler,,,[]
profiler operator,,,[]
profiling machine setup operator,,,[]
program analyst,,,[]
program arranger,,,[]
program attendant,,,[]
program clerk,,,[]
program coder,,,[]
program development specialist,,,[]
program director,,,[]
program scheduler,,,[]
program writer,,,[]
programmable logic controller assembler,,,[]
programmer analyst,,,[]
programmer computer,,,[]
programmer numerical control,,,[]
programmer process control,,,[]
programmer tool,,,[]
programming methodology researcher,,,[]
progress clerk,,,[]
progress man,,,[]
project crew worker,,,[]
projection printer,,,[]
projector,,,['projector']
projector booth operator,,,[]
projector operator,,,[]
promotion specialist,,,[]
promotional representative,,,[]
promotions director,,,[]
promotor,,,[]
pronger,,,[]
proof carrier,,,[]
proof clerk,,,[]
proof machine operator,,,[]
proof operator,,,[]
proof passer,,,[]
proof plate maker,,,[]
proof press operator,,,[]
proofer,,,[]
proofsheet corrector,,,[]
prop cutter,,,[]
prop drawer,,,[]
prop man,,,[]
prop sawyer,,,[]
prop setter,,,[]
propagator,,,"['propagator', 'disseminator']"
propagator laborer,,,[]
propagator scientist,,,[]
propeller layout worker,,,[]
propeller tester,,,[]
property accountant,,,[]
property administrator,,,[]
property clerk,,,[]
property evaluator,,,[]
property examiner,,,[]
property man,,,[]
property master,,,[]
property officer,,,[]
property supervisor,,,[]
property underwriter,,,[]
proposal development manager,,,[]
proposition player,,,[]
prorate clerk,,,[]
proration clerk,,,[]
prospecting driller,,,[]
prospecting observer,,,[]
prospector,,,['prospector']
prosthetic aide,,,[]
prosthetist,,,['prosthetist']
prosthodontist,,,['prosthodontist']
prostitute,,,"['lady of pleasure', 'prostitute', 'tart', 'harlot', 'woman of the street', 'bawd', 'sporting lady', 'whore', 'cyprian', 'cocotte', 'fancy woman', 'working girl']"
protective officer,,,[]
protective services social worker,,,[]
protective signal installer,,,[]
protective signal operator,,,[]
protective signal superintendent,,,[]
protector plate attacher,,,[]
protohistorian,,,[]
protozoologist,,,['protozoologist']
provost,,,['provost']
pruner,,,"['trimmer', 'pruner', 'lopper', 'pruning hook']"
psychiatric aide,,,[]
psychiatric attendant,,,[]
psychiatric nurse,,,[]
psychiatric nurse practitioner,,,[]
psychiatric nursing aide,,,[]
psychiatric orderly,,,[]
psychiatric secretary,,,[]
psychiatric social worker,,,[]
psychiatric technician assistant,,,[]
psychic reader,,,[]
psychoanalyst,,,"['analyst', 'psychoanalyst']"
psychological examiner school,,,[]
psychometric examiner,,,[]
psychometrician,,,[]
psychometrist,,,[]
psychosocial rehabilitation counselor,,,[]
psychotherapist social worker,,,[]
pt,,,"['platinum', 'atomic number 78', 'Pt']"
pta,,,[]
public accountant,,,[]
public address announcer,,,[]
public address servicer,,,[]
public address system installer,,,[]
public affairs director,,,[]
public bath attendant,,,[]
public defender,,,[]
public health administrator,,,[]
public health advisor,,,[]
public health aide,,,[]
public health analyst,,,[]
public health dentist,,,[]
public health dietitian,,,[]
public health doctor,,,[]
public health educator,,,[]
public health instructor,,,[]
public health microbiologist,,,[]
public health nurse,,,[]
public health nutritionist,,,[]
public health policy analyst,,,[]
public health professor,,,[]
public health representative,,,[]
public health sanitarian technician,,,[]
public health service officer,,,[]
public health social worker,,,[]
public health specialist,,,[]
public health staff nurse,,,[]
public health technologist,,,[]
public health veterinarian,,,[]
public housing interviewer,,,[]
public information director,,,[]
public opinion survey taker,,,[]
public policy professor,,,[]
public relations consultant,,,[]
public relations counselor,,,[]
public relations director,,,[]
public relations representative,,,[]
public safety communications,,,[]
public safety director,,,[]
public safety dispatcher,,,[]
public safety officer,,,[]
public safety telecommunicator,,,[]
public school speech clinician,,,[]
public school speech therapist,,,[]
public speaking professor,,,[]
public stenographer,,,[]
public transit bus driver,,,[]
public weigher,,,[]
public welfare director,,,[]
public welfare worker,,,[]
publication director,,,[]
publication editor,,,[]
publications writer,,,[]
publicist,,,"['publiciser', 'publicizer', 'publicist']"
publicity agent,,,[]
publicity consultant,,,[]
publicity director,,,[]
publicity expert,,,[]
publicity person,,,[]
publicity writer,,,[]
puddler,,,['puddler']
puffer,,,"['puffer', 'blowfish', 'pufferfish', 'globefish', 'sea squab']"
puffer tender,,,[]
pug machine operator,,,[]
pug mill operator,,,[]
pugger,,,[]
pugilist,,,"['pugilist', 'boxer']"
pull boy,,,[]
pull over,,,[]
pull over machine operator,,,[]
pull tab dealer,,,[]
pull up hand,,,[]
puller,,,"['dragger', 'tugger', 'puller']"
puller out,,,[]
puller over,,,[]
pulley man,,,[]
pulmonary disease specialist,,,[]
pulmonary function technologist,,,[]
pulmonary physical therapist,,,[]
pulmonary physician,,,[]
pulmonologist,,,[]
pulp beater,,,[]
pulp bleacher,,,[]
pulp cooker,,,[]
pulp drier firer,,,[]
pulp grinder,,,[]
pulp grinder feeder,,,[]
pulp machine operator,,,[]
pulp maker,,,[]
pulp mill operator,,,[]
pulp mixer,,,[]
pulp operator,,,[]
pulp piler,,,[]
pulp press tender,,,[]
pulp refiner operator,,,[]
pulp tester,,,[]
pulper,,,[]
pulper feeder,,,[]
pulpit operator,,,[]
pulpwood buyer,,,[]
pulpwood contractor,,,[]
pulpwood cutter,,,[]
pulpwood dealer,,,[]
pulverizer,,,[]
pulverizer feeder,,,[]
pulverizer mill operator,,,[]
pulverizer operator,,,[]
pump attendant,,,[]
pump erector,,,[]
pump house operator,,,[]
pump installer,,,[]
pump oiler,,,[]
pump press operator,,,[]
pump rebuilder,,,[]
pump runner,,,[]
pump servicer,,,[]
pump station operator waterworks,,,[]
pump stitcher,,,[]
pump system operator,,,[]
pump tender cement based materials,,,[]
pump tender,,,[]
pump tester,,,[]
pumper,,,[]
pumper gager,,,[]
pumper head,,,[]
pumper operator fire engine,,,[]
pumphouse operator chief,,,[]
pumpman,,,[]
punch box tender,,,[]
punch card operator,,,[]
punch hand,,,[]
punch machine hand,,,[]
punch machine operator,,,[]
punch operator office machine,,,[]
punch operator,,,[]
punch press setter,,,[]
punchboard filling machine operator,,,[]
puncher,,,"['cowman', 'cowhand', 'cowpoke', 'punch', 'cowboy', 'cowpuncher', 'cowherd', 'puncher', 'cattleman']"
pupil personnel worker,,,[]
puppet maker,,,[]
puppet master,,,[]
purchase analyst,,,[]
purchase price analyst,,,[]
purchaser exc wholesale retail products,,,[]
purchaser farm products,,,[]
purchaser wholesale products,,,[]
purchasing agent cotton grain livestock other farm products,,,[]
purchasing agent equipment supplies tools etc,,,[]
purchasing agent merchandise for resale,,,[]
purchasing clerk,,,[]
purchasing department clerk,,,[]
purchasing director cotton grain livestock other farm products,,,[]
purchasing director,,,[]
purchasing officer,,,[]
pure pak machine operator,,,[]
purification operator,,,[]
purifier,,,['purifier']
purler,,,[]
purse maker,,,[]
purse seiner,,,[]
purser,,,['purser']
purveyor,,,['purveyor']
pushcart peddler,,,[]
pusher,,,"['pushchair', 'peddler', 'drug dealer', 'drug trafficker', 'thruster', 'perambulator', 'baby carriage', 'pusher', 'stroller', 'shover', 'carriage', 'pram', 'go-cart', 'drug peddler', 'zori', 'baby buggy']"
pusher operator,,,[]
pusher runner,,,[]
putter out,,,[]
puttier,,,[]
putty glazer,,,[]
putty maker,,,[]
putty mixer,,,[]
putty patcher,,,[]
putty tinter maker,,,[]
putty worker,,,[]
pv installation technician,,,[]
pv installer,,,[]
pv panel installer,,,[]
pyridine operator,,,[]
pyridine recovery operator,,,[]
pyrometer operator,,,[]
pyrotechnic detonator,,,[]
pyrotechnic setter,,,[]
pyrotechnist,,,[]
quad stayer,,,[]
quahogger,,,[]
qualifications examiner,,,[]
qualified medical dosimetrist,,,[]
quality assurance representative,,,[]
quality assurance specialist applications,,,[]
quality assurance specialist systems software,,,[]
quality checker,,,[]
quality control checker,,,[]
quality control chemist bachelors degree or higher,,,[]
quality control chemist less than bachelors degree,,,[]
quality control clerk,,,[]
quality control director,,,[]
quality control expert,,,[]
quality control head,,,[]
quality control tester,,,[]
quality tester,,,[]
quantitative psychologist,,,[]
quarantine officer,,,[]
quarry boss,,,[]
quarry chop saw operator,,,[]
quarry plug driller,,,[]
quarry worker,,,[]
quarrying machinery,,,[]
quarryman,,,"['quarrier', 'quarryman']"
quarter backer,,,[]
quarter seamer,,,[]
quarter trimmer,,,[]
quarterman,,,[]
quartermaster,,,['quartermaster']
quartz cutter,,,[]
quartz miner blasting,,,[]
quartz miner,,,[]
quartz mounter,,,[]
quartz orientator,,,[]
quebracho tanner,,,[]
quencher operator,,,[]
quenching car operator,,,[]
quenching machine operator,,,[]
quill boy,,,[]
quill cleaner,,,[]
quill collector,,,[]
quill fixer,,,[]
quill layer,,,[]
quill machine operator,,,[]
quill machine tender,,,[]
quill reamer,,,[]
quill skinner,,,[]
quill stripper,,,[]
quill winder,,,[]
quiller,,,[]
quiller hand,,,[]
quiller operator,,,[]
quiller runner,,,[]
quiller tender,,,[]
quilt maker,,,[]
quilt stuffer,,,[]
quilter,,,[]
quilting machine operator,,,[]
quotation checker,,,[]
quotation clerk,,,[]
quoter,,,['quoter']
ra clerk,,,[]
rabbet operator,,,[]
rabbi,,,"['rabbi', 'Rabbi']"
rabbit fancier,,,[]
rabbler,,,[]
race board attendant,,,[]
race book writer,,,[]
race relations adviser,,,[]
race starter,,,[]
race writer,,,[]
racehorse trainer,,,[]
racing board marker,,,[]
racing car driver,,,[]
racing secretary,,,[]
rack boy,,,[]
rack carrier,,,[]
rack girl,,,[]
rack loader,,,[]
rack maker,,,[]
rack puller,,,[]
rack puncher,,,[]
rack pusher,,,[]
rack room worker,,,[]
rack washer,,,[]
racker jewelry,,,[]
racker sports equipment,,,[]
racker,,,['racker']
racking machine operator,,,[]
rackman,,,[]
racquet maker,,,[]
radar operator,,,[]
radar repair,,,[]
radar installation,,,[]
radar technicians,,,[]
radar tester,,,[]
radiagraph operator,,,[]
radial arm saw operator,,,[]
radial drill operator,,,[]
radial drill press operator,,,[]
radial drill press operator for plastic,,,[]
radial router operator,,,[]
radial saw operator,,,[]
radiation control worker,,,[]
radiation monitor,,,[]
radiation officer,,,[]
radiation protection specialist,,,[]
radiation therapy technologist,,,[]
radiator cleaner,,,[]
radiator core tester,,,[]
radiator specialist,,,[]
radiator tester,,,[]
radio adjuster,,,[]
radio aerial installer,,,[]
radio announcer,,,[]
radio antenna installer,,,[]
radio artist,,,[]
radio commentator,,,[]
radio dispatcher,,,[]
radio division officer,,,[]
radio electrician,,,[]
radio frequency technician,,,[]
radio installer,,,[]
radio intelligence operator,,,[]
radio interference expert,,,[]
radio interference investigator,,,[]
radio interference trouble shooter,,,[]
radio machinist,,,[]
radio maintainer,,,[]
radio message router,,,[]
radio news writer,,,[]
radio officer,,,[]
radio operator,,,[]
radio performer,,,[]
radio program checker,,,[]
radio recorder,,,[]
radio rigger,,,[]
radio script writer,,,[]
radio sportscaster,,,[]
radio survey worker,,,[]
radio tester,,,[]
radio time buyer,,,[]
radioisotop production operator,,,[]
radioisotope technologist,,,[]
radiologic physician,,,[]
radiologic technician,,,[]
radiologic technologist,,,[]
radiological defense officer,,,[]
radiological health specialist,,,[]
radiology equipment servicer,,,[]
radiology practitioner assistant,,,[]
radiology transcriptionist,,,[]
radiophone operator,,,[]
radiosonde operator,,,[]
radiosonde specialist,,,[]
radiotelegrapher,,,[]
radiotelephone operator,,,[]
radon inspector,,,[]
rafter,,,"['raftman', 'baulk', 'raftsman', 'rafter', 'balk']"
rafter cutting machine operator,,,[]
raftsman,,,"['raftsman', 'raftman', 'rafter']"
rag boiler,,,[]
rag collector,,,[]
rag cutter,,,[]
rag cutting machine feeder,,,[]
rag cutting machine operator,,,[]
rag grader,,,[]
rag picker,,,[]
rag shredder,,,[]
rag sorter,,,[]
rag washer,,,[]
ragman,,,[]
rail bender,,,[]
rail bonder,,,[]
rail car loader,,,[]
rail car operator,,,[]
rail detector car operator,,,[]
rail filler,,,[]
rail flaw detector operator,,,[]
rail grinder,,,[]
rail maintenance worker,,,[]
rail setter,,,[]
rail signal mechanic,,,[]
rail track laying or maintenance equipment operator,,,[]
rail tractor operator,,,[]
rail walker,,,[]
rail washer,,,[]
railcar switcher,,,[]
railroad accountant,,,[]
railroad auditor,,,[]
railroad brakeman,,,[]
railroad car checker,,,[]
railroad car letterer,,,[]
railroad car painter,,,[]
railroad commissioner,,,[]
railroad conductor,,,[]
railroad detective,,,[]
railroad firer,,,[]
railroad hand,,,[]
railroad maintenance clerk,,,[]
railroad passenger agent,,,[]
railroad porter baggage,,,[]
railroad purchasing agent,,,[]
railroad surveyor,,,[]
railroad watchman,,,[]
railroad worker,,,[]
railroader,,,"['railway man', 'railwayman', 'trainman', 'railroad man', 'railroader']"
railroading,,,"['railroading', 'rail technology']"
railway equipment operator,,,[]
railway head tender,,,[]
railway switch operator,,,[]
railway switchman,,,[]
raise driller,,,[]
raised printer,,,[]
raiser,,,"['agriculturist', 'raiser', 'cultivator', 'grower', 'agriculturalist']"
raker,,,[]
raking machine operator,,,[]
ram press operator,,,[]
ramp agent,,,[]
ramp attendant refueling,,,[]
ramp attendant,,,[]
ramp boss,,,[]
ramp jockey,,,[]
ramp service agent,,,[]
rampman food or baggage handling,,,[]
rampman refueling,,,[]
rampman,,,[]
ramrod,,,['ramrod']
ranch cook,,,[]
ranch hand crop,,,[]
ranch hand crop livestock or ns,,,[]
ranch hand livestock handler,,,[]
ranch hand livestock or ns,,,[]
rand cementer,,,[]
rand maker,,,[]
rand tacker,,,[]
range aide,,,[]
range conservationist,,,[]
range ecologist,,,[]
range examiner,,,[]
range feeder,,,[]
range man,,,[]
range mounter,,,[]
range rider,,,[]
range scientist,,,[]
rangelands conservation laborer,,,[]
ranger,,,"['commando', 'Texas Ranger', 'fire warden', 'ranger', 'forest fire fighter', 'Ranger']"
rapper,,,"['knocker', 'doorknocker', 'rapper']"
rasper machine operator,,,[]
rat culturist,,,[]
rat exterminator,,,[]
rat farmer,,,[]
rat poisoner,,,[]
rat trapper,,,[]
ratchet setter,,,[]
rate analyst exc freight,,,[]
rate analyst freight,,,[]
rate clerk,,,[]
rate examiner,,,[]
rate marker,,,[]
rate quoting operator,,,[]
rate reviewer,,,[]
rate setter,,,[]
rater,,,[]
rating board specialist,,,[]
rating clerk,,,[]
rating examiner,,,[]
rating officer,,,[]
rating specialist,,,[]
ratoprinter,,,[]
rattler,,,"['rattler', 'freight train', 'rattlesnake']"
rattling machine tender,,,[]
raveler,,,[]
raw cheese worker,,,[]
raw mill operator,,,[]
raw sampler,,,[]
raw scales operator,,,[]
raw shellfish preparer,,,[]
raw silk grader,,,[]
rawhide bone roller,,,[]
rawhide trimmer,,,[]
raymond mill operator,,,[]
rayon coner,,,[]
rayon tester,,,[]
rayon winder,,,[]
razor grinder,,,[]
razor sharpener,,,[]
rdh,,,[]
re dye hand,,,[]
re etcher,,,[]
re examiner,,,[]
reacher,,,[]
reactor operator test,,,[]
reactor operator research,,,[]
reactor operator,,,[]
reader,,,"['subscriber', 'lector', 'proofreader', 'lecturer', 'reader', 'reviewer', 'referee']"
reading tutor,,,[]
ready mix truck driver,,,[]
real estate,,,[]
real estate administrator,,,[]
real estate appraiser,,,[]
real estate assessor,,,[]
real estate attorney,,,[]
real estate broker,,,[]
real estate clerk,,,[]
real estate evaluator,,,[]
real estate inspector,,,[]
real estate loan officer,,,[]
real estate officer,,,[]
real estate site analyst,,,[]
realtime captioner,,,[]
realtor,,,['Realtor']
ream cutter,,,[]
reamer,,,"['juicer', 'juice reamer', 'reamer']"
reaming machine operator,,,[]
reaming machine tender,,,[]
reaming press operator,,,[]
rebar worker,,,[]
rebeamer,,,[]
rebrander,,,[]
recapper,,,[]
receipt clerk,,,[]
receiver dispatcher,,,[]
receiver,,,"['recipient', 'telephone receiver', 'receiving system', 'pass catcher', 'liquidator', 'pass receiver', 'receiver']"
receiving barn custodian,,,[]
receiving checker,,,[]
receiving clerk,,,[]
receiving dock checker,,,[]
receiving teller,,,[]
recenterer,,,[]
receptionist airline lounge,,,[]
receptionist nurse,,,[]
receptionist secretary,,,[]
receptionist telephone operator,,,[]
receptionist with other clerical activities,,,[]
reclamation furnace operator,,,[]
reclamation kettle tender,,,[]
reclamation worker,,,[]
recoater,,,[]
recoating machine operator,,,[]
reconcilement clerk,,,[]
reconciliation machine operator,,,[]
reconditioner,,,[]
reconsignment clerk,,,[]
reconstructive dentist,,,[]
reconstructive surgeon,,,[]
recooperer,,,[]
record changer,,,[]
record changer tester,,,[]
record clerk filing,,,[]
record clerk tabulating,,,[]
record clerk,,,[]
record cutter,,,[]
record keeper,,,[]
record librarian,,,[]
record maker,,,[]
record press tender,,,[]
record pressman,,,[]
record searcher,,,[]
record tester,,,[]
recordak operator,,,[]
recorder,,,"['vertical flute', 'recorder', 'registrar', 'fipple pipe', 'record-keeper', 'recording machine', 'recording equipment', 'fipple flute']"
recorder of deeds,,,[]
recording artist,,,[]
recording operator,,,[]
recording studio setup worker,,,[]
recordist chief,,,[]
recordist,,,[]
records custodian,,,[]
records management analyst,,,[]
records management director,,,[]
records manager,,,[]
recovery operator,,,[]
recovery room nurse,,,[]
recreation activities aide,,,[]
recreation activities assistant,,,[]
recreation aide,,,[]
recreation assistant,,,[]
recreation attendant supervisor,,,[]
recreation director,,,[]
recreation facility attendant,,,[]
recreation leader,,,[]
recreation therapy aide,,,[]
recreational activities aide,,,[]
recreational activities assistant,,,[]
recreational activities instructor,,,[]
recreational aide,,,[]
recruiter,,,['recruiter']
rectifier,,,['rectifier']
rectifier operator,,,[]
rector,,,"['minister', 'rector', 'minister of religion', 'pastor', 'curate', 'parson']"
recyclable materials collector,,,[]
red cap,,,[]
red cross worker,,,[]
red leader,,,[]
redipper,,,[]
redrawer,,,[]
redrying machine operator,,,[]
reducer,,,"['reducer', 'reducing agent', 'reductant']"
reducing machine operator,,,[]
reducing salon attendant,,,[]
reducing system operator,,,[]
reduction furnace operator,,,[]
reed cleaner,,,[]
reed dipper,,,[]
reed fixer,,,[]
reed maker,,,[]
reed man,,,[]
reed press feeder,,,[]
reel boy,,,[]
reel cart operator,,,[]
reel hooker,,,[]
reel man,,,[]
reel operator,,,[]
reel stripper,,,[]
reel tender,,,[]
reel winder,,,[]
reel worker,,,[]
reeler,,,"['totterer', 'staggerer', 'reeler']"
reeling machine operator,,,[]
reeling machine setup operator,,,[]
reeling operator,,,[]
referee,,,"['ref', 'reader', 'reviewer', 'referee']"
reference archivist,,,[]
reference clerk,,,[]
reference investigator,,,[]
referral aide,,,[]
refined syrup operator,,,[]
refiner,,,['refiner']
refinery operator,,,[]
refinery superintendent,,,[]
refining equipment operator,,,[]
refinisher,,,"['renovator', 'refinisher', 'preserver', 'restorer']"
reflesher,,,[]
reforestation worker,,,[]
reformatory attendant,,,[]
refractory bricklayer,,,[]
refractory mixer,,,[]
refractory specialist,,,[]
refractory tile,,,[]
refrigerating machine operator,,,[]
refrigerating oiler,,,[]
refrigeration engine operator,,,[]
refrigeration houseman,,,[]
refrigeration installer,,,[]
refrigeration insulator,,,[]
refrigerator mover,,,[]
refueler,,,[]
regasification plant operator,,,[]
regenerator operator,,,[]
regional planner,,,[]
register,,,"['registry', 'cash register', 'register']"
register clerk,,,[]
register of deeds,,,[]
register of wills,,,[]
registered dental assistant,,,[]
registered dental hygienist,,,[]
registered diagnostic medical sonographer,,,[]
registered diet technician,,,[]
registered health nurse,,,[]
registered land surveyor,,,[]
registered mail clerk,,,[]
registered medical transcriptionist,,,[]
registered nuclear medicine technologist,,,[]
registered nurse midwife,,,[]
registered nursing professor,,,[]
registered occupational therapist,,,[]
registered pharmacist,,,[]
registered public health nurse,,,[]
registered public surveyor,,,[]
registered radiation therapist,,,[]
registered radiologic technologist,,,[]
registered representative,,,[]
registered respiratory therapist,,,[]
registered veterinary technician,,,[]
registrar assistant,,,[]
registrar clerk,,,[]
registrar college,,,[]
registrar database,,,[]
registrar elementary school,,,[]
registrar guard entrance,,,[]
registrar office,,,[]
registrar representative,,,[]
registrar secondary school,,,[]
registration clerk,,,[]
registration officer,,,[]
regrader,,,[]
regrinder,,,[]
regroover,,,[]
regulator operator,,,[]
regulator shop,,,[]
regulator tester,,,[]
rehabilitation clerk,,,[]
rehabilitation counselor,,,[]
rehabilitation program coordinator,,,[]
rehabilitation psychologist,,,[]
rehabilitation services aide,,,[]
rehabilitation specialist,,,[]
rehanger,,,[]
reheat furnace operator,,,[]
reheater,,,[]
reinforcement maker,,,[]
reinforcer,,,"['reinforcer', 'reinforcement', 'reinforcing stimulus']"
reinforcing metal worker,,,[]
reinforcing rod layer,,,[]
reinforcing steel machine operator,,,[]
reinforcing steel tier,,,[]
reinspector,,,[]
reinsurance clerk,,,[]
rejector,,,[]
rejogger,,,[]
rejoiner,,,[]
relaster,,,[]
relay adjuster,,,[]
relay dispatcher,,,[]
relay man,,,[]
relay motorman,,,[]
relay record clerk,,,[]
relay telegrapher,,,[]
relay tester,,,[]
relief man,,,[]
relief map modeler,,,[]
relief worker,,,[]
religious education director,,,[]
religious healer,,,[]
religious worker,,,[]
reliner,,,[]
relish maker,,,[]
relocation commissioner,,,[]
relocation director,,,[]
remelt furnace expediter,,,[]
remelt worker,,,[]
remelter,,,[]
remittance clerk,,,[]
remnant sorter,,,[]
remnants cutter,,,[]
remodeling,,,[]
remote control mirror installer,,,[]
remotely piloted vehicle engineering technician,,,[]
remotely piloted vehicle operator,,,[]
renal social worker,,,[]
renderer,,,[]
rendering equipment tender,,,[]
renovator,,,"['renovator', 'refinisher', 'preserver', 'restorer']"
rent collector,,,[]
rent investigator,,,[]
rental agent car,,,[]
rental agent real estate,,,[]
rental clerk,,,[]
renter boats,,,[]
renter,,,"['tenant', 'renter']"
renting agent car,,,[]
renting agent real estate,,,[]
reordering clerk,,,[]
repacker,,,[]
repair clerk,,,[]
repair order clerk,,,[]
repair service dispatcher,,,[]
repairer accordion,,,[]
repairer air valve,,,[]
repairer aircraft body,,,[]
repairer antique automobiles,,,[]
repairer antique clocks,,,[]
repairer antique furniture,,,[]
repairer antique jewelry,,,[]
repairer antique,,,[]
repairer appliance dental,,,[]
repairer appliance exc dental,,,[]
repairer appliance exc household,,,[]
repairer appliance household,,,[]
repairer armature winder,,,[]
repairer art objects,,,[]
repairer assembled wood products,,,[]
repairer audio video,,,[]
repairer auto body,,,[]
repairer auto clocks,,,[]
repairer automatic window seat lift,,,[]
repairer aviation support equipment,,,[]
repairer bag,,,[]
repairer barrel,,,[]
repairer battery,,,[]
repairer belt,,,[]
repairer bicycle,,,[]
repairer bonded structures,,,[]
repairer book,,,[]
repairer boot,,,[]
repairer brake,,,[]
repairer buffing wheel,,,[]
repairer cable,,,[]
repairer cable installer,,,[]
repairer camera,,,[]
repairer canvas,,,[]
repairer carpet,,,[]
repairer casting,,,[]
repairer cell,,,[]
repairer cell tower,,,[]
repairer cellophane casting machine,,,[]
repairer central office,,,[]
repairer chain,,,[]
repairer chemical processing equipment,,,[]
repairer cigarette lighter,,,[]
repairer coin machine servicer,,,[]
repairer computer equipment,,,[]
repairer controller tester,,,[]
repairer cryogenics,,,[]
repairer dairy equipment,,,[]
repairer data processing equipment,,,[]
repairer deicer,,,[]
repairer ditch,,,[]
repairer doll,,,[]
repairer electric meter,,,[]
repairer electric motor,,,[]
repairer electric power line,,,[]
repairer electric tool,,,[]
repairer electrical airplane,,,[]
repairer electrical appliance,,,[]
repairer electrical instrument,,,[]
repairer electromedical equipment,,,[]
repairer electronic home entertainment equipment,,,[]
repairer elevator,,,[]
repairer engine production,,,[]
repairer engine service,,,[]
repairer fare register,,,[]
repairer fax machine,,,[]
repairer fender,,,[]
repairer figure refinisher,,,[]
repairer finished metal,,,[]
repairer fire extinguisher,,,[]
repairer fixture fabricator,,,[]
repairer flyer,,,[]
repairer forge shop machine,,,[]
repairer frame,,,[]
repairer fretted instrument,,,[]
repairer furnace,,,[]
repairer gas appliance,,,[]
repairer gas engine,,,[]
repairer gas line,,,[]
repairer gas plant,,,[]
repairer gas regulator,,,[]
repairer gear,,,[]
repairer glass lined tank,,,[]
repairer golf cart electric,,,[]
repairer golf cart gas,,,[]
repairer golf cart type ns,,,[]
repairer golf club,,,[]
repairer gyroscope,,,[]
repairer handtools,,,[]
repairer hearing aid,,,[]
repairer heating technician,,,[]
repairer heavy,,,[]
repairer hosiery,,,[]
repairer house carpenter,,,[]
repairer instrument,,,[]
repairer jewelry,,,[]
repairer kiln,,,[]
repairer kiln door,,,[]
repairer last,,,[]
repairer last remodeler,,,[]
repairer lawn mower,,,[]
repairer luggage,,,[]
repairer machine maintenance,,,[]
repairer magneto,,,[]
repairer maintenance building,,,[]
repairer maintenance general utility,,,[]
repairer manufactured buildings,,,[]
repairer mat,,,[]
repairer mechanical door,,,[]
repairer mechanical unit,,,[]
repairer metal furniture,,,[]
repairer meteorological equipment,,,[]
repairer meter,,,[]
repairer mining machinery,,,[]
repairer missile facilities,,,[]
repairer mobile homes,,,[]
repairer mother,,,[]
repairer motorcycle,,,[]
repairer motorcycle subassembly,,,[]
repairer needle board,,,[]
repairer oil burner,,,[]
repairer optical instrument,,,[]
repairer ore dressing smelting,,,[]
repairer ore dressing refining,,,[]
repairer oriental rug,,,[]
repairer oven equipment,,,[]
repairer pens,,,[]
repairer pencils,,,[]
repairer percussion instrument,,,[]
